Signal Legend:

Key        Signal Name

0        = data_o
1        = AD7606:ad7606_state|channel_read
2        = AD7606:ad7606_state|cycle_cnt
3        = AD7606:ad7606_state|data_i
4        = adc_cva
5        = adc_cs
6        = adc_busy
7        = adc_rd
8        = led

Data Table:

Signals-> 0       1  2         3     4 5 6 7 8 

sample

22        124771o 6h 00000870h 00E2h 1 1 0 1 1 
23        125020o 7h 0000086Ch 00E2h 1 1 0 1 1 
24        125024o 0h 00000868h 00E2h 1 1 0 1 1 
25        135037o 1h 00000884h 00E2h 1 1 0 1 1 
26        125027o 2h 00000880h 00E2h 1 1 0 1 1 
27        125011o 3h 0000087Ch 00E2h 1 1 0 1 1 
28        125053o 4h 00000878h 00E2h 1 1 0 1 1 
29        124774o 5h 00000874h 00E2h 1 1 0 1 1 
30        124770o 6h 00000870h 00E2h 1 1 0 1 1 
31        125020o 7h 0000086Ch 00E2h 1 1 0 1 1 
32        125023o 0h 00000868h 00E2h 1 1 0 1 1 
33        125036o 1h 00000885h 00E2h 1 1 0 1 1 
34        125026o 2h 00000881h 00E2h 1 1 0 1 1 
35        125010o 3h 0000087Dh 00E2h 1 1 0 1 1 
36        125053o 4h 00000879h 00E2h 1 1 0 1 1 
37        124772o 5h 00000875h 00E2h 1 1 0 1 1 
38        124767o 6h 00000871h 00E2h 1 1 0 1 1 
39        125017o 7h 0000086Dh 00E2h 1 1 0 1 1 
40        125022o 0h 00000869h 00E2h 1 1 0 1 1 
41        125035o 1h 00000884h 00E2h 1 1 0 1 1 
42        125025o 2h 00000880h 00E2h 1 1 0 1 1 
43        125007o 3h 0000087Ch 00E2h 1 1 0 1 1 
44        125051o 4h 00000878h 00E2h 1 1 0 1 1 
45        124771o 5h 00000874h 00E2h 1 1 0 1 1 
46        124766o 6h 00000870h 00E2h 1 1 0 1 1 
47        125016o 7h 0000086Ch 00E2h 1 1 0 1 1 
48        125020o 0h 00000868h 00E2h 1 1 0 1 1 
49        125035o 1h 00000885h 00E2h 1 1 0 1 1 
50        125023o 2h 00000881h 00E2h 1 1 0 1 1 
51        125006o 3h 0000087Dh 00E2h 1 1 0 1 1 
52        125050o 4h 00000879h 00E2h 1 1 0 1 1 
53        124770o 5h 00000875h 00E2h 1 1 0 1 1 
54        124765o 6h 00000871h 00E2h 1 1 0 1 1 
55        125014o 7h 0000086Dh 00E2h 1 1 0 1 1 
56        125020o 0h 00000869h 00E2h 1 1 0 1 1 
57        125042o 1h 00000884h 00E2h 1 1 0 1 1 
58        125031o 2h 00000880h 00E2h 1 1 0 1 1 
59        125013o 3h 0000087Ch 00E2h 1 1 0 1 1 
60        125055o 4h 00000878h 00E2h 1 1 0 1 1 
61        124775o 5h 00000874h 00E2h 1 1 0 1 1 
62        124772o 6h 00000870h 00E2h 1 1 0 1 1 
63        125020o 7h 0000086Ch 00E2h 1 1 0 1 1 
64        125025o 0h 00000868h 00E2h 1 1 0 1 1 
65        125044o 1h 00000884h 00E2h 1 1 0 1 1 
66        125034o 2h 00000880h 00E2h 1 1 0 1 1 
67        125015o 3h 0000087Ch 00E2h 1 1 0 1 1 
68        125057o 4h 00000878h 00E2h 1 1 0 1 1 
69        125000o 5h 00000874h 00E2h 1 1 0 1 1 
70        176775o 6h 00000870h 00E2h 1 1 0 1 1 
71        125024o 7h 0000086Ch 00E2h 1 1 0 1 1 
72        125027o 0h 00000868h 00E2h 1 1 0 1 1 
73        125045o 1h 00000884h 00E2h 1 1 0 1 1 
74        125035o 2h 00000880h 00E2h 1 1 0 1 1 
75        125016o 3h 0000087Ch 00E2h 1 1 0 1 1 
76        125062o 4h 00000878h 00E2h 1 1 0 1 1 
77        125002o 5h 00000874h 00E2h 1 1 0 1 1 
78        176776o 6h 00000870h 00E2h 1 1 0 1 1 
79        125026o 7h 0000086Ch 00E2h 1 1 0 1 1 
80        125031o 0h 00000868h 00E2h 1 1 0 1 1 
81        125046o 1h 00000885h 00E2h 1 1 0 1 1 
82        125036o 2h 00000881h 00E2h 1 1 0 1 1 
83        125021o 3h 0000087Dh 00E2h 1 1 0 1 1 
84        125063o 4h 00000879h 00E2h 1 1 0 1 1 
85        125002o 5h 00000875h 00E2h 1 1 0 1 1 
86        176777o 6h 00000871h 00E2h 1 1 0 1 1 
87        125031o 7h 0000086Dh 00E2h 1 1 0 1 1 
88        125033o 0h 00000869h 00E2h 1 1 0 1 1 
89        125050o 1h 00000885h 00E2h 1 1 0 1 1 
90        125040o 2h 00000881h 00E2h 1 1 0 1 1 
91        125022o 3h 0000087Dh 00E2h 1 1 0 1 1 
92        125064o 4h 00000879h 00E2h 1 1 0 1 1 
93        125005o 5h 00000875h 00E2h 1 1 0 1 1 
94        125001o 6h 00000871h 00E2h 1 1 0 1 1 
95        125031o 7h 0000086Dh 00E2h 1 1 0 1 1 
96        125034o 0h 00000869h 00E2h 1 1 0 1 1 
97        125050o 1h 00000885h 00E2h 1 1 0 1 1 
98        125037o 2h 00000881h 00E2h 1 1 0 1 1 
99        125021o 3h 0000087Dh 00E2h 1 1 0 1 1 
100       125064o 4h 00000879h 00E2h 1 1 0 1 1 
101       125005o 5h 00000875h 00E2h 1 1 0 1 1 
102       125001o 6h 00000871h 00E2h 1 1 0 1 1 
103       125032o 7h 0000086Dh 00E2h 1 1 0 1 1 
104       125034o 0h 00000869h 00E2h 1 1 0 1 1 
105       125051o 1h 00000885h 00E2h 1 1 0 1 1 
106       125041o 2h 00000881h 00E2h 1 1 0 1 1 
107       125023o 3h 0000087Dh 00E2h 1 1 0 1 1 
108       125065o 4h 00000879h 00E2h 1 1 0 1 1 
109       125005o 5h 00000875h 00E2h 1 1 0 1 1 
110       125002o 6h 00000871h 00E2h 1 1 0 1 1 
111       125032o 7h 0000086Dh 00E2h 1 1 0 1 1 
112       125034o 0h 00000869h 00E2h 1 1 0 1 1 
113       125050o 1h 00000884h 00E2h 1 1 0 1 1 
114       125040o 2h 00000880h 00E2h 1 1 0 1 1 
115       125022o 3h 0000087Ch 00E2h 1 1 0 1 1 
116       125064o 4h 00000878h 00E2h 1 1 0 1 1 
117       125005o 5h 00000874h 00E2h 1 1 0 1 1 
118       125001o 6h 00000870h 00E2h 1 1 0 1 1 
119       125030o 7h 0000086Ch 00E2h 1 1 0 1 1 
120       125034o 0h 00000868h 00E2h 1 1 0 1 1 
121       125050o 1h 00000884h 00E2h 1 1 0 1 1 
122       125037o 2h 00000880h 00E2h 1 1 0 1 1 
123       125022o 3h 0000087Ch 00E2h 1 1 0 1 1 
124       125065o 4h 00000878h 00E2h 1 1 0 1 1 
125       125004o 5h 00000874h 00E2h 1 1 0 1 1 
126       125000o 6h 00000870h 00E2h 1 1 0 1 1 
127       125031o 7h 0000086Ch 00E2h 1 1 0 1 1 
128       125034o 0h 00000868h 00E2h 1 1 0 1 1 
129       125045o 1h 00000884h 00E2h 1 1 0 1 1 
130       125035o 2h 00000880h 00E2h 1 1 0 1 1 
131       125020o 3h 0000087Ch 00E2h 1 1 0 1 1 
132       125061o 4h 00000878h 00E2h 1 1 0 1 1 
133       125002o 5h 00000874h 00E2h 1 1 0 1 1 
134       125000o 6h 00000870h 00E2h 1 1 0 1 1 
135       125027o 7h 0000086Ch 00E2h 1 1 0 1 1 
136       125032o 0h 00000868h 00E2h 1 1 0 1 1 
137       125043o 1h 00000884h 00E2h 1 1 0 1 1 
138       125033o 2h 00000880h 00E2h 1 1 0 1 1 
139       125016o 3h 0000087Ch 00E2h 1 1 0 1 1 
140       125061o 4h 00000878h 00E2h 1 1 0 1 1 
141       125001o 5h 00000874h 00E2h 1 1 0 1 1 
142       124776o 6h 00000870h 00E2h 1 1 0 1 1 
143       125026o 7h 0000086Ch 00E2h 1 1 0 1 1 
144       125027o 0h 00000868h 00E2h 1 1 0 1 1 
145       125042o 1h 00000884h 00E2h 1 1 0 1 1 
146       125031o 2h 00000880h 00E2h 1 1 0 1 1 
147       125014o 3h 0000087Ch 00E2h 1 1 0 1 1 
148       125056o 4h 00000878h 00E2h 1 1 0 1 1 
149       124776o 5h 00000874h 00E2h 1 1 0 1 1 
150       124773o 6h 00000870h 00E2h 1 1 0 1 1 
151       125023o 7h 0000086Ch 00E2h 1 1 0 1 1 
152       125026o 0h 00000868h 00E2h 1 1 0 1 1 
153       125036o 1h 00000885h 00E2h 1 1 0 1 1 
154       125026o 2h 00000881h 00E2h 1 1 0 1 1 
155       125010o 3h 0000087Dh 00E2h 1 1 0 1 1 
156       125053o 4h 00000879h 00E2h 1 1 0 1 1 
157       124773o 5h 00000875h 00E2h 1 1 0 1 1 
158       124766o 6h 00000871h 00E2h 1 1 0 1 1 
159       125017o 7h 0000086Dh 00E2h 1 1 0 1 1 
160       125022o 0h 00000869h 00E2h 1 1 0 1 1 
161       125033o 1h 00000884h 00E2h 1 1 0 1 1 
162       125022o 2h 00000880h 00E2h 1 1 0 1 1 
163       125004o 3h 0000087Ch 00E2h 1 1 0 1 1 
164       125046o 4h 00000878h 00E2h 1 1 0 1 1 
165       124766o 5h 00000874h 00E2h 1 1 0 1 1 
166       124762o 6h 00000870h 00E2h 1 1 0 1 1 
167       125012o 7h 0000086Ch 00E2h 1 1 0 1 1 
168       125016o 0h 00000868h 00E2h 1 1 0 1 1 
169       125030o 1h 00000884h 00E2h 1 1 0 1 1 
170       125017o 2h 00000880h 00E2h 1 1 0 1 1 
171       125001o 3h 0000087Ch 00E2h 1 1 0 1 1 
172       125043o 4h 00000878h 00E2h 1 1 0 1 1 
173       124763o 5h 00000874h 00E2h 1 1 0 1 1 
174       124760o 6h 00000870h 00E2h 1 1 0 1 1 
175       125010o 7h 0000086Ch 00E2h 1 1 0 1 1 
176       125013o 0h 00000868h 00E2h 1 1 0 1 1 
177       125035o 1h 00000884h 00E2h 1 1 0 1 1 
178       125024o 2h 00000880h 00E2h 1 1 0 1 1 
179       125005o 3h 0000087Ch 00E2h 1 1 0 1 1 
180       125050o 4h 00000878h 00E2h 1 1 0 1 1 
181       124770o 5h 00000874h 00E2h 1 1 0 1 1 
182       124765o 6h 00000870h 00E2h 1 1 0 1 1 
183       125015o 7h 0000086Ch 00E2h 1 1 0 1 1 
184       125020o 0h 00000868h 00E2h 1 1 0 1 1 
185       175437o 1h 00000885h 00E2h 1 1 0 1 1 
186       125025o 2h 00000881h 00E2h 1 1 0 1 1 
187       125010o 3h 0000087Dh 00E2h 1 1 0 1 1 
